Image#  Defocus1  Defocus2  Astig
  156   30212.0   30682.1   -0.58
  156   30212.0   30682.1   -0.58
  157   29039.7   28099.1   62.70
  157   29039.7   28099.1   62.70
  158   28961.2   28209.2   75.89
  159   29008.8   28177.6   78.10
  159   29008.8   28177.6   78.10
  159   29008.8   28177.6   78.10
  160   23311.0   24190.1    4.58
  161   45730.8   49048.3   -2.18
  161   45730.8   49048.3   -2.18
  162   43519.4   44022.6    8.44
  162   43519.4   44022.6    8.44
  162   43519.4   44022.6    8.44
  163   40936.9   42779.6    0.53
  163   40936.9   42779.6    0.53
  164   41293.6   39782.7   76.75
  164   41293.6   39782.7   76.75
  164   41293.6   39782.7   76.75
  165   41868.1   40897.5   67.29
  165   41868.1   40897.5   67.29
  166   38528.2   38092.8   19.80
  166   38528.2   38092.8   19.80
  167   39291.8   38335.1   68.47
  167   39291.8   38335.1   68.47
  168   38464.1   39330.8   -0.48
  168   38464.1   39330.8   -0.48
  169   38974.6   38430.8   63.25
  169   38974.6   38430.8   63.25
  170   35452.1   37283.4   -2.26
  170   35452.1   37283.4   -2.26
  170   35452.1   37283.4   -2.26
  171   33985.6   33357.2   45.69
  171   33985.6   33357.2   45.69
  171   33985.6   33357.2   45.69
  172   30089.9   28492.9   75.31
  172   30089.9   28492.9   75.31
  173   31285.0   31473.3  -55.82
  173   31285.0   31473.3  -55.82
  173   31285.0   31473.3  -55.82
  174   26729.8   26991.8  -17.90
  175   26887.6   26201.5   71.53
  175   26887.6   26201.5   71.53
  175   26887.6   26201.5   71.53
  176   26257.1   25295.7   55.33
  176   26257.1   25295.7   55.33
  176   26257.1   25295.7   55.33
  176   26257.1   25295.7   55.33
  177   35243.3   34083.8   61.73
  177   35243.3   34083.8   61.73
  178   36657.2   36397.9   26.53
  178   36657.2   36397.9   26.53
  178   36657.2   36397.9   26.53
  179   31483.5   30886.9   64.05
  180   50058.7   49457.8   48.46
  180   50058.7   49457.8   48.46
  180   50058.7   49457.8   48.46
  181   45589.5   46678.9   10.15
  181   45589.5   46678.9   10.15
  181   45589.5   46678.9   10.15
  181   45589.5   46678.9   10.15
  182   41907.3   44353.9   -4.81
  182   41907.3   44353.9   -4.81
  182   41907.3   44353.9   -4.81
  183   41654.3   40630.5   78.83
  184   36403.4   38596.6   -6.84
  184   36403.4   38596.6   -6.84
  184   36403.4   38596.6   -6.84
  185   38303.4   39538.3   -9.85
  185   38303.4   39538.3   -9.85
  185   38303.4   39538.3   -9.85
  186   35720.0   36963.1   -3.52
  187   35945.9   34308.3   70.04
  187   35945.9   34308.3   70.04
  188   35691.8   36801.7   -3.29
  188   35691.8   36801.7   -3.29
  188   35691.8   36801.7   -3.29
  189   33113.8   31863.5   76.45
  189   33113.8   31863.5   76.45
  189   33113.8   31863.5   76.45
  189   33113.8   31863.5   76.45
  190   31256.3   30609.9   58.90
  191   28207.1   29417.2  -10.56
  191   28207.1   29417.2  -10.56
  191   28207.1   29417.2  -10.56
  191   28207.1   29417.2  -10.56
  192   29354.3   29742.9    7.99
  192   29354.3   29742.9    7.99
  193   29101.2   29502.4   -8.41
  194   44576.5   43567.9   61.00
  194   44576.5   43567.9   61.00
  195   43533.9   44830.5   -1.34
  195   43533.9   44830.5   -1.34
  195   43533.9   44830.5   -1.34
  195   43533.9   44830.5   -1.34
  196   38345.4   37144.7   69.02
  196   38345.4   37144.7   69.02
  196   38345.4   37144.7   69.02
  197   39606.5   39003.8   51.79
  198   37230.8   36085.6   59.40
  198   37230.8   36085.6   59.40
  199   37607.4   36680.6   78.79
  199   37607.4   36680.6   78.79
